name,Tel,region,address,class,longitude,latitude,name_pinyin,address_pinyin,region_pinyin
京城百工坊,67111381,左安门,光明路乙12号（夕照寺街口）,Museum,116.434853,39.883713,jing cheng bai gong fang,guang ming lu yi 12 hao （ xi zhao si jie kou ）,zuo an men
百年印象摄影画廊,64381784,798/大山子,酒仙桥路4号,Exhibition Centre,116.495628,39.984051,bai nian yin xiang she ying hua lang,jiu xian qiao lu 4 hao,798 / da shan zi
东京画廊,59784838,798/大山子,酒仙桥路2号798艺术区陶瓷三街E02号,Exhibition Centre,116.495476,39.98344,dong jing hua lang,jiu xian qiao lu 2 hao 798 yi zhu qu tao ci san jie E 02 hao,798 / da shan zi
红门画廊,,崇文门,崇文门东大街东便门角楼,Art Gallery,116.434262,39.901633,hong men hua lang,chong wen men dong da jie dong bian men jiao lou,chong wen men
国宜广场,63950810,公主坟/万寿路,西三环中路19号,Square,116.309193,39.904403,guo yi guang chang,xi san huan zhong lu 19 hao,gong zhu fen / wan shou lu
北京大学-地质博物馆,62756088,颐和园,颐和园路5号北京大学燕园内,Museum,116.309937,39.991894,bei jing da xue - di zhi bo wu guan,yi he yuan lu 5 hao bei jing da xue yan yuan nei,yi he yuan
大葆台西汉墓博物馆,83612852,世界公园,郭公庄707号,Museum,116.297859,39.806305,da bao tai xi han mu bo wu guan,guo gong zhuang 707 hao,shi jie gong yuan
大钟寺古钟博物馆,82139050;82132630,双榆树,北三环西路甲31号,Museum,116.338181,39.969074,da zhong si gu zhong bo wu guan,bei san huan xi lu jia 31 hao,shuang yu shu
中国第四纪冰川遗迹陈列馆,88722585,模式口,模式口大街28号,Exhibition Gallery,116.161873,39.937763,zhong guo di si ji bing chuan yi ji chen lie guan,mo shi kou da jie 28 hao,mo shi kou
北京古代建筑博物馆,63172150;63017620,虎坊桥,东经路21号,Museum,116.392044,39.877522,bei jing gu dai jian zhu bo wu guan,dong jing lu 21 hao,hu fang qiao
古陶文明博物馆,63538811;63538884,右安门,右安门内西街12号,Museum,116.3573,39.87336,gu tao wen ming bo wu guan,you an men nei xi jie 12 hao,you an men
观复博物馆,64338887;64337775,金盏,大山子张万坟金南路18号,Museum,116.534325,40.006969,guan fu bo wu guan,da shan zi zhang wan fen jin nan lu 18 hao,jin zhan
中国航天博物馆,68755656,南苑/德茂桥,万源路1号,Museum,116.423546,39.804871,zhong guo hang tian bo wu guan,wan yuan lu 1 hao,nan yuan / de mao qiao
北京焦庄户地道战遗址纪念馆,60461906,顺义区,焦庄户村38号,Memorial Hall,116.870066,40.233788,bei jing jiao zhuang hu di dao zhan yi zhi ji nian guan,jiao zhuang hu cun 38 hao,shun yi qu
中国人民抗日战争纪念馆,63777088;63777188,卢沟桥,卢沟桥宛平城内街101号,Memorial Hall,116.225955,39.851771,zhong guo ren min kang ri zhan zheng ji nian guan,lu gou qiao wan ping cheng nei jie 101 hao,lu gou qiao
北京鲁迅博物馆,50872677,阜成门,新街口街道宫门口二条19号（阜成门地铁站B东北口步行260米）,Museum,116.358696,39.925732,bei jing lu xun bo wu guan,xin jie kou jie dao gong men kou er tiao 19 hao （ fu cheng men di tie zhan B dong bei kou bu xing 260 mi ）,fu cheng men
密云区博物馆,69053677,密云果园,果园街道西门外大街2号,Museum,116.836227,40.377277,mi yun qu bo wu guan,guo yuan jie dao xi men wai da jie 2 hao,mi yun guo yuan
民族文化宫博物馆,83195280,西单,复兴门内大街49号,Museum,116.369019,39.908096,min zu wen hua gong bo wu guan,fu xing men nei da jie 49 hao,xi dan
奇石馆,62048190,安定门,安德路102号,Exhibition Gallery,116.391968,39.95126,qi shi guan,an de lu 102 hao,an ding men
北京石刻艺术博物馆,62173543,魏公村,五塔寺路24号,Museum,116.330467,39.94463,bei jing shi ke yi zhu bo wu guan,wu ta si lu 24 hao,wei gong cun
首都博物馆,63370491;63370492,复兴门,复兴门外大街16号,Museum,116.342067,39.906412,shou du bo wu guan,fu xing men wai da jie 16 hao,fu xing men
北京Planetarium,68312517,西直门/动物园,西直门外大街138号,Planetarium,116.336899,39.937424,bei jing P l a n e t a r i u m,xi zhi men wai da jie 138 hao,xi zhi men / dong wu yuan
通州博物馆,69555161,新华大街,西大街9号,Museum,116.667381,39.908012,tong zhou bo wu guan,xi da jie 9 hao,xin hua da jie
